Data e Hora,NÂº de Tweets
15/10/2014 14:00:00,34380
15/10/2014 15:00:00,79168
15/10/2014 16:00:00,78363
15/10/2014 17:00:00,83956
15/10/2014 18:00:00,77716
15/10/2014 19:00:00,65103
15/10/2014 20:00:00,66820
15/10/2014 21:00:00,79278
15/10/2014 22:00:00,86037
15/10/2014 23:00:00,97589
16/10/2014 00:00:00,110250
16/10/2014 01:00:00,163357
16/10/2014 02:00:00,176225
16/10/2014 03:00:00,124614
16/10/2014 04:00:00,77749
16/10/2014 05:00:00,42667
16/10/2014 06:00:00,22230
16/10/2014 07:00:00,10159
16/10/2014 08:00:00,8327
16/10/2014 09:00:00,23618
16/10/2014 10:00:00,37532
16/10/2014 11:00:00,42721
16/10/2014 12:00:00,49163
16/10/2014 13:00:00,55960
16/10/2014 14:00:00,66157
16/10/2014 15:00:00,76896
16/10/2014 16:00:00,79292
16/10/2014 17:00:00,65831
16/10/2014 18:00:00,57105
16/10/2014 19:00:00,58552
16/10/2014 20:00:00,68165
16/10/2014 21:00:00,88485
16/10/2014 22:00:00,99455
16/10/2014 23:00:00,93364
17/10/2014 00:00:00,107999
17/10/2014 01:00:00,142784
17/10/2014 02:00:00,153989
17/10/2014 03:00:00,122216
17/10/2014 04:00:00,76954
17/10/2014 05:00:00,42225
17/10/2014 06:00:00,20986
17/10/2014 07:00:00,10695
17/10/2014 08:00:00,8018
17/10/2014 09:00:00,20563
17/10/2014 10:00:00,35149
17/10/2014 11:00:00,40920
17/10/2014 12:00:00,48147
17/10/2014 13:00:00,59857
17/10/2014 14:00:00,66981
17/10/2014 15:00:00,74755
17/10/2014 16:00:00,74914
17/10/2014 17:00:00,65010
17/10/2014 18:00:00,58848
17/10/2014 19:00:00,57843
17/10/2014 20:00:00,65614
17/10/2014 21:00:00,53149
17/10/2014 22:00:00,53502
17/10/2014 23:00:00,54062
18/10/2014 00:00:00,55413
18/10/2014 01:00:00,61059
18/10/2014 02:00:00,63504
18/10/2014 03:00:00,56569
18/10/2014 04:00:00,42781
18/10/2014 05:00:00,37155
18/10/2014 06:00:00,27475
18/10/2014 07:00:00,17727
18/10/2014 08:00:00,12109
18/10/2014 09:00:00,11540
18/10/2014 10:00:00,17460
18/10/2014 11:00:00,27496
18/10/2014 12:00:00,41490
18/10/2014 13:00:00,58389
18/10/2014 14:00:00,71411
18/10/2014 15:00:00,75211
18/10/2014 16:00:00,72340
18/10/2014 17:00:00,69005
18/10/2014 18:00:00,63706
18/10/2014 19:00:00,61734
18/10/2014 20:00:00,59172
18/10/2014 21:00:00,60674
18/10/2014 22:00:00,65108
18/10/2014 23:00:00,68668
19/10/2014 00:00:00,73059
19/10/2014 01:00:00,80645
19/10/2014 02:00:00,89896
19/10/2014 03:00:00,97584
19/10/2014 04:00:00,77494
19/10/2014 05:00:00,55963
19/10/2014 06:00:00,40592
19/10/2014 07:00:00,22995
19/10/2014 08:00:00,16698
19/10/2014 09:00:00,13707
19/10/2014 10:00:00,15743
19/10/2014 11:00:00,22588
19/10/2014 12:00:00,38052
19/10/2014 13:00:00,55893
19/10/2014 14:00:00,69959
19/10/2014 15:00:00,75877
19/10/2014 16:00:00,76309
19/10/2014 17:00:00,73542
19/10/2014 18:00:00,80196
19/10/2014 19:00:00,77269
19/10/2014 20:00:00,75460
19/10/2014 21:00:00,77039
19/10/2014 22:00:00,86636
19/10/2014 23:00:00,95094
20/10/2014 00:00:00,123624
20/10/2014 01:00:00,134568
20/10/2014 02:00:00,125020
20/10/2014 03:00:00,92031
20/10/2014 04:00:00,57009
20/10/2014 05:00:00,29497
20/10/2014 06:00:00,14505
20/10/2014 07:00:00,4923